Product,Quantity,Uom,Group_Qty,GrpUom,Avg_Rate,Revenue,Date,Year,Month,Category,Month_Name,Quarter,Week,DayOfWeek,Festival,Is_Festival,Is_Summer,Is_Peak_Q2,Is_Monsoon,Is_Winter,Rev_Per_Unit
Cheese Slice 100gm,3.0,nos,0.3,kgs,49.44,148.32,2021-04-02,2021,4,Cheese,Apr,2,13,Friday,Eid,1,1,1,0,0,49.44
Cheese Slice 100gm,2.0,nos,0.2,kgs,49.0,98.0,2021-04-03,2021,4,Cheese,Apr,2,13,Saturday,Eid,1,1,1,0,0,49.0
Cheese Slice 100gm,12.0,nos,1.2,kgs,49.0,588.0,2021-04-08,2021,4,Cheese,Apr,2,14,Thursday,None,0,1,1,0,0,49.0
Cheese Slice 100gm,15.0,nos,1.5,kgs,50.68,760.13,2021-04-09,2021,4,Cheese,Apr,2,14,Friday,None,0,1,1,0,0,50.68
Cheese Slice 100gm,49.0,nos,4.9,kgs,50.01,2450.41,2021-04-10,2021,4,Cheese,Apr,2,14,Saturday,Vishu,1,1,1,0,0,50.01
Cheese Slice 100gm,6.0,nos,0.6,kgs,49.0,294.0,2021-04-11,2021,4,Cheese,Apr,2,14,Sunday,Vishu,1,1,1,0,0,49.0
Cheese Slice 100gm,8.0,nos,0.8,kgs,51.81,414.51,2021-04-12,2021,4,Cheese,Apr,2,15,Monday,Vishu,1,1,1,0,0,51.81
Cheese Slice 100gm,3.0,nos,0.3,kgs,56.5,169.5,2021-04-14,2021,4,Cheese,Apr,2,15,Wednesday,Vishu,1,1,1,0,0,56.5
Cheese Slice 100gm,3.0,nos,0.3,kgs,49.0,147.01,2021-04-15,2021,4,Cheese,Apr,2,15,Thursday,Vishu,1,1,1,0,0,49.0
Cheese Slice 100gm,19.0,nos,1.9,kgs,49.05,931.89,2021-04-16,2021,4,Cheese,Apr,2,15,Friday,Vishu,1,1,1,0,0,49.05
Cheese Slice 100gm,26.0,nos,2.6,kgs,53.62,1394.0,2021-04-17,2021,4,Cheese,Apr,2,15,Saturday,None,0,1,1,0,0,53.62
Cheese Slice 100gm,14.0,nos,1.4,kgs,49.0,686.0,2021-04-19,2021,4,Cheese,Apr,2,16,Monday,None,0,1,1,0,0,49.0
Cheese Slice 100gm,29.0,nos,2.9,kgs,49.15,1425.39,2021-04-20,2021,4,Cheese,Apr,2,16,Tuesday,None,0,1,1,0,0,49.15
Cheese Slice 100gm,77.0,nos,7.7,kgs,49.56,3816.21,2021-04-21,2021,4,Cheese,Apr,2,16,Wednesday,None,0,1,1,0,0,49.56
Cheese Slice 100gm,21.0,nos,2.1,kgs,50.43,1059.01,2021-04-22,2021,4,Cheese,Apr,2,16,Thursday,None,0,1,1,0,0,50.43
Cheese Slice 100gm,5.0,nos,0.5,kgs,49.44,247.2,2021-04-23,2021,4,Cheese,Apr,2,16,Friday,None,0,1,1,0,0,49.44
Cheese Slice 100gm,50.0,nos,5.0,kgs,49.18,2458.77,2021-04-26,2021,4,Cheese,Apr,2,17,Monday,None,0,1,1,0,0,49.18
Cheese Slice 100gm,15.0,nos,1.5,kgs,49.0,735.01,2021-04-27,2021,4,Cheese,Apr,2,17,Tuesday,None,0,1,1,0,0,49.0
Cheese Slice 100gm,14.0,nos,1.4,kgs,54.99,769.82,2021-04-28,2021,4,Cheese,Apr,2,17,Wednesday,None,0,1,1,0,0,54.99
Cheese Slice 100gm,18.0,nos,1.8,kgs,49.0,882.0,2021-04-29,2021,4,Cheese,Apr,2,17,Thursday,None,0,1,1,0,0,49.0
Cheese Slice 100gm,20.0,nos,2.0,kgs,49.35,987.02,2021-04-30,2021,4,Cheese,Apr,2,17,Friday,None,0,1,1,0,0,49.35
Cheese Slice 100gm,10.0,nos,1.0,kgs,49.18,491.75,2021-05-01,2021,5,Cheese,May,2,17,Saturday,None,0,1,1,0,0,49.18
Cheese Slice 100gm,5.0,nos,0.5,kgs,49.0,245.01,2021-05-02,2021,5,Cheese,May,2,17,Sunday,None,0,1,1,0,0,49.0
Cheese Slice 100gm,19.0,nos,1.9,kgs,52.55,998.5,2021-05-03,2021,5,Cheese,May,2,18,Monday,None,0,1,1,0,0,52.55
Cheese Slice 100gm,48.0,nos,4.8,kgs,49.75,2388.15,2021-05-04,2021,5,Cheese,May,2,18,Tuesday,None,0,1,1,0,0,49.75
Cheese Slice 100gm,21.0,nos,2.1,kgs,50.18,1053.71,2021-05-05,2021,5,Cheese,May,2,18,Wednesday,None,0,1,1,0,0,50.18
Cheese Slice 100gm,9.0,nos,0.9,kgs,51.5,463.5,2021-05-06,2021,5,Cheese,May,2,18,Thursday,None,0,1,1,0,0,51.5
Cheese Slice 100gm,10.0,nos,1.0,kgs,52.97,529.7,2021-05-07,2021,5,Cheese,May,2,18,Friday,None,0,1,1,0,0,52.97
Cheese Slice 100gm,19.0,nos,1.9,kgs,50.55,960.5,2021-05-08,2021,5,Cheese,May,2,18,Saturday,None,0,1,1,0,0,50.55
Cheese Slice 100gm,8.0,nos,0.8,kgs,49.0,392.02,2021-05-10,2021,5,Cheese,May,2,19,Monday,None,0,1,1,0,0,49.0
Cheese Slice 100gm,24.0,nos,2.4,kgs,50.99,1223.65,2021-05-11,2021,5,Cheese,May,2,19,Tuesday,None,0,1,1,0,0,50.99
Cheese Slice 100gm,19.0,nos,1.9,kgs,50.55,960.52,2021-05-12,2021,5,Cheese,May,2,19,Wednesday,None,0,1,1,0,0,50.55
Cheese Slice 100gm,29.0,nos,2.9,kgs,50.55,1466.01,2021-05-13,2021,5,Cheese,May,2,19,Thursday,None,0,1,1,0,0,50.55
Cheese Slice 100gm,42.0,nos,4.2,kgs,50.05,2102.08,2021-05-14,2021,5,Cheese,May,2,19,Friday,None,0,1,1,0,0,50.05
Cheese Slice 100gm,30.0,nos,3.0,kgs,49.0,1470.0,2021-05-16,2021,5,Cheese,May,2,19,Sunday,None,0,1,1,0,0,49.0
Cheese Slice 100gm,25.0,nos,2.5,kgs,50.29,1257.13,2021-05-17,2021,5,Cheese,May,2,20,Monday,None,0,1,1,0,0,50.29
Cheese Slice 100gm,34.0,nos,3.4,kgs,55.46,1885.7,2021-05-18,2021,5,Cheese,May,2,20,Tuesday,None,0,1,1,0,0,55.46
Cheese Slice 100gm,18.0,nos,1.8,kgs,52.33,942.0,2021-05-19,2021,5,Cheese,May,2,20,Wednesday,None,0,1,1,0,0,52.33
Cheese Slice 100gm,16.0,nos,1.6,kgs,49.16,786.63,2021-05-20,2021,5,Cheese,May,2,20,Thursday,None,0,1,1,0,0,49.16
Cheese Slice 100gm,12.0,nos,1.2,kgs,49.44,593.25,2021-05-21,2021,5,Cheese,May,2,20,Friday,None,0,1,1,0,0,49.44
Cheese Slice 100gm,37.0,nos,3.7,kgs,49.07,1815.64,2021-05-22,2021,5,Cheese,May,2,20,Saturday,None,0,1,1,0,0,49.07
