Category,Product,Total_Quantity,Total_Revenue,Avg_Rate,Days_Sold,Rev_Per_Unit,Revenue_Share,Quantity_Share,Quadrant,Period,Recommendation,Qty_Threshold,Rev_Threshold
Curd,Special Curd 500gm- Tonned Milk,914489.0,28114697.95,30.208950563746747,1153,30.74,2.67,2.22,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Milma Katti Moru 500ml,826218.0,22244476.68,26.667233009708738,1442,26.92,2.11,2.01,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Paneer,Paneer 200gm - Sliced,196265.0,15373153.85,78.35640402843603,1688,78.33,1.46,0.48,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Dtm Curd 500g,246697.0,7339139.33,29.80096654275093,269,29.75,0.7,0.6,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Skimmed Milk Curd 5kg,23143.0,6273965.0,273.38679833679834,962,271.1,0.6,0.06,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Kattimoru 450 Ml Pet,225215.0,5423028.72,24.108398791540786,331,24.08,0.52,0.55,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Sambaram,Butter Milk 250ml-Nellikka,798782.0,5290325.6,6.746538461538461,364,6.62,0.5,1.94,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Paneer,Paneer 1kg,7363.0,2977284.0,400.5564958283671,839,404.36,0.28,0.02,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Cheese,Cheese Slice 100gm,48971.0,2894761.71,58.50519587628866,1455,59.11,0.28,0.12,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Set Curd 1 Kg - Toned Milk,13719.0,1156702.45,95.71080745341615,483,84.31,0.11,0.03,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Kantharimoru 700 Ml Pet,20442.0,804309.12,39.177368421052634,38,39.35,0.08,0.05,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Probiotic Set Curd 1000 G,6395.0,550406.89,96.46153526970954,241,86.07,0.05,0.02,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Sambaram,Butter Milk 175 Ml - Sambharam,143233.0,531077.3,3.722183908045977,87,3.71,0.05,0.35,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Cheese,Cheese Spread Plain 200gm,3602.0,288237.65,82.53899746192894,788,80.02,0.03,0.01,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Yogurt,Flavoured Yoghurt 80gm,13424.0,234872.82,17.4868,450,17.5,0.02,0.03,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Kattimoru 250 Ml Sachet,109925.0,105969.19,4.5979569892473116,93,0.96,0.01,0.27,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Sambaram,Butter Milk 200 Ml - Nellikka,13620.0,92214.64,6.8588,25,6.77,0.01,0.03,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Milma Katti Moru 1 Ltr,2092.0,85672.29,42.74666666666667,9,40.95,0.01,0.01,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Katta Thairu 400g,2376.0,82104.61,34.524358974358975,156,34.56,0.01,0.01,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Cheese,Cheese Spread Chilly Garlic 200gm,314.0,22100.18,70.18289156626507,83,70.38,0.0,0.0,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Yogurt,Greek Yoghurt 100g,828.0,20683.07,25.658235294117645,17,24.98,0.0,0.0,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Cheese,Cheese Spread Pepper 200gm,287.0,20430.09,71.4808988764045,89,71.18,0.0,0.0,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Yogurt,Sugar Free Yoghurt 100g - Mango,633.0,15930.36,25.45916666666667,36,25.17,0.0,0.0,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Yogurt,Greek Yoghurt 100g - Trcmpu,480.0,11876.99,26.753333333333334,6,24.74,0.0,0.0,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Yogurt,Sugar Free Yoghurt 100g - Pineapple,462.0,11602.310000000001,25.236086956521742,23,25.11,0.0,0.0,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Curd,Probiotic Set Curd 400 G,128.0,4206.08,32.86,5,32.86,0.0,0.0,Efficiency Target,2021-2025,Review inventory levels. Consider seasonal production only or phase-out.,1372242.8,35063850.01
Sambaram,Butter Milk 200 Ml,3769020.0,26313702.32,7.0595,960,6.98,2.5,9.16,Push Item,2021-2025,Bundle with premium products. Increase pack size options. Upsell opportunity.,1372242.8,35063850.01
Sambaram,Butter Milk 180ml - Sambaram,1404215.0,5221560.5,3.7669189189189187,370,3.72,0.5,3.41,Push Item,2021-2025,Bundle with premium products. Increase pack size options. Upsell opportunity.,1372242.8,35063850.01
Curd,Skimmed Milk Curd 525g,20797312.0,635343334.86,29.94914393939394,1320,30.55,60.4,50.52,Star,2021-2025,Maintain shelf priority. Scale production in Q2. Feature in promotions.,1372242.8,35063850.01
Curd,Skimmed Milk Curd 500gm,11577634.0,285067673.77,24.608111587982833,699,24.62,27.1,28.12,Star,2021-2025,Maintain shelf priority. Scale production in Q2. Feature in promotions.,1372242.8,35063850.01
