Category,Product,Total_Quantity,Total_Revenue,Avg_Rate,Days_Sold,Rev_Per_Unit,Revenue_Share,Quantity_Share,Quadrant,Period,Recommendation,Qty_Threshold,Rev_Threshold,Season
Curd,Milma Katti Moru 500ml,445237.0,11939444.66,26.307397260273973,365,26.82,3.37,2.83,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Curd,Special Curd 500gm- Tonned Milk,211463.0,6523136.66,30.068198757763973,322,30.85,1.84,1.35,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Sambaram,Butter Milk 250ml-Nellikka,569316.0,3764493.6,6.703624161073826,149,6.61,1.06,3.62,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Paneer,Paneer 200gm - Sliced,41823.0,3321270.24,79.28091346153846,416,79.41,0.94,0.27,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Curd,Dtm Curd 500g,106673.0,3177958.61,29.82771739130435,92,29.79,0.9,0.68,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Curd,Kattimoru 450 Ml Pet,109002.0,2629961.14,24.14771739130435,92,24.13,0.74,0.69,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Curd,Skimmed Milk Curd 5kg,7528.0,2039238.55,271.3174264705882,272,270.89,0.58,0.05,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Paneer,Paneer 1kg,1711.0,689605.79,399.9721719457013,221,403.04,0.19,0.01,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Cheese,Cheese Slice 100gm,9382.0,553195.91,58.06267267267267,333,58.96,0.16,0.06,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Curd,Set Curd 1 Kg - Toned Milk,5436.0,429598.2,95.27678832116788,137,79.03,0.12,0.03,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Curd,Probiotic Set Curd 1000 G,2150.0,139305.74,93.3367741935484,62,64.79,0.04,0.01,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Curd,Kattimoru 250 Ml Sachet,76918.0,77294.99,4.074166666666667,48,1.0,0.02,0.49,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Cheese,Cheese Spread Plain 200gm,792.0,61341.48,80.38202312138728,173,77.45,0.02,0.01,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Yogurt,Flavoured Yoghurt 80gm,3071.0,54832.8,17.775675675675675,111,17.86,0.02,0.02,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Curd,Katta Thairu 400g,912.0,31482.61,34.549,50,34.52,0.01,0.01,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Yogurt,Greek Yoghurt 100g,471.0,11768.03,25.001428571428573,7,24.99,0.0,0.0,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Cheese,Cheese Spread Pepper 200gm,63.0,4469.22,70.64153846153846,26,70.94,0.0,0.0,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Cheese,Cheese Spread Chilly Garlic 200gm,50.0,3505.31,70.15842105263158,19,70.11,0.0,0.0,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Yogurt,Sugar Free Yoghurt 100g - Pineapple,118.0,2923.01,24.709999999999997,3,24.77,0.0,0.0,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Yogurt,Sugar Free Yoghurt 100g - Mango,72.0,1813.03,25.380000000000003,4,25.18,0.0,0.0,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Yogurt,Greek Yoghurt 100g - Trcmpu,2.0,74.0,37.0,1,37.0,0.0,0.0,Efficiency Target,Summer (Mar-May),Review inventory levels. Consider seasonal production only or phase-out.,628674.4,14170532.77,Summer
Sambaram,Butter Milk 180ml - Sambaram,1004105.0,3738289.5,3.7550335570469797,149,3.72,1.06,6.39,Push Item,Summer (Mar-May),Bundle with premium products. Increase pack size options. Upsell opportunity.,628674.4,14170532.77,Summer
Curd,Skimmed Milk Curd 525g,6869442.0,209481530.39,29.488478260869567,368,30.49,59.13,43.71,Star,Summer (Mar-May),Maintain shelf priority. Scale production in Q2. Feature in promotions.,628674.4,14170532.77,Summer
Curd,Skimmed Milk Curd 500gm,3605117.0,87161229.2,24.175489130434784,184,24.18,24.6,22.94,Star,Summer (Mar-May),Maintain shelf priority. Scale production in Q2. Feature in promotions.,628674.4,14170532.77,Summer
Sambaram,Butter Milk 200 Ml,2646006.0,18425556.63,6.982454212454212,273,6.96,5.2,16.84,Star,Summer (Mar-May),Maintain shelf priority. Scale production in Q2. Feature in promotions.,628674.4,14170532.77,Summer
Curd,Special Curd 500gm- Tonned Milk,703026.0,21591561.29,30.263489771359808,831,30.71,3.09,2.76,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Paneer,Paneer 200gm - Sliced,154442.0,12051883.61,78.05404874213836,1272,78.04,1.73,0.61,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Curd,Milma Katti Moru 500ml,380981.0,10305032.02,26.789182915506036,1077,27.05,1.48,1.5,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Curd,Skimmed Milk Curd 5kg,15615.0,4234726.45,274.2025507246377,690,271.2,0.61,0.06,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Curd,Dtm Curd 500g,140024.0,4161180.72,29.78706214689266,177,29.72,0.6,0.55,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Curd,Kattimoru 450 Ml Pet,116213.0,2793067.58,24.09326359832636,239,24.03,0.4,0.46,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Cheese,Cheese Slice 100gm,39589.0,2341565.8,58.6365329768271,1122,59.15,0.34,0.16,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Paneer,Paneer 1kg,5652.0,2287678.21,400.76545307443365,618,404.76,0.33,0.02,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Sambaram,Butter Milk 250ml-Nellikka,229466.0,1525832.0,6.776279069767442,215,6.65,0.22,0.9,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Sambaram,Butter Milk 180ml - Sambaram,400110.0,1483271.0,3.7749321266968328,221,3.71,0.21,1.57,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
Curd,Kantharimoru 700 Ml Pet,20442.0,804309.12,39.177368421052634,38,39.35,0.12,0.08,Efficiency Target,Non-Summer,Review inventory levels. Consider seasonal production only or phase-out.,848347.47,23255072.7,Non-Summer
